indicator_code,indicator_name,domain_code,domain_name,pillar_code,median_relevance_r1,iqr_relevance_r1,pct_rating_7_9_r1,I_CVI_r1,kappa_star_r1,kappa_evaluation_r1,consensus_r1,retain_r1,mean_clarity_r1,mean_feasibility_r1,median_relevance_r2,iqr_relevance_r2,pct_rating_7_9_r2,I_CVI_r2,kappa_star_r2,kappa_evaluation_r2,consensus_r2,retain_r2,mean_clarity_r2,mean_feasibility_r2,final_retain,final_consensus,final_I_CVI,decision
D1.1,National oil pollution preparedness and response legislation in force,D1,Legal & Regulatory Basis,A,8.0,1.0,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.333333333333333,4.166666666666667,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.5,4.222222222222222,True,True,0.9444444444444444,RETAIN
D1.2,Ratification and domestication of OPRC 1990 and CLC/FUND conventions,D1,Legal & Regulatory Basis,A,6.0,2.75,38.88888888888889,0.3888888888888889,0.3044498475550924,poor,False,False,3.1666666666666665,3.111111111111111,8.0,3.0,55.55555555555556,0.5555555555555556,0.46650222796129587,fair,False,False,2.7777777777777777,2.611111111111111,False,False,0.5555555555555556,DROP
D1.3,Port-level statutory instrument for spill preparedness and response,D1,Legal & Regulatory Basis,A,8.0,1.0,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,3.5555555555555554,3.7222222222222223,8.0,1.0,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,True,False,3.7222222222222223,3.7222222222222223,False,True,0.7777777777777778,DROP
D1.4,Legal mandate and approval status of the national contingency plan,D1,Legal & Regulatory Basis,A,8.0,1.75,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.166666666666667,4.222222222222222,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.555555555555555,4.222222222222222,True,True,1.0,RETAIN
D1.5,"Enforcement provisions, penalty schedule and prosecution record",D1,Legal & Regulatory Basis,A,8.0,1.0,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,4.222222222222222,4.277777777777778,8.0,1.0,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.222222222222222,4.0,True,True,0.8888888888888888,RETAIN
D2.1,Legally designated competent national authority for oil spill response,D2,Designated Authority & Command Structure,A,8.0,1.5,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.277777777777778,4.055555555555555,8.0,0.75,100.0,1.0,1.0,excellent,True,True,4.222222222222222,4.111111111111111,True,True,1.0,RETAIN
D2.2,"Designated On-Scene Commander role, appointment and authority",D2,Designated Authority & Command Structure,A,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.277777777777778,4.111111111111111,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.5,4.166666666666667,True,True,0.9444444444444444,RETAIN
D2.3,Incident command system formally adopted and documented,D2,Designated Authority & Command Structure,A,8.0,0.75,100.0,1.0,1.0,excellent,True,True,4.388888888888889,4.5,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.222222222222222,4.0,True,True,0.9444444444444444,RETAIN
D2.4,"Clarity of inter-agency roles, delegation and hand-over points",D2,Designated Authority & Command Structure,A,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.222222222222222,4.222222222222222,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.5,4.444444444444445,True,True,1.0,RETAIN
D2.5,24/7 duty officer roster and command continuity arrangements,D2,Designated Authority & Command Structure,A,8.0,1.75,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,True,False,3.611111111111111,3.2222222222222223,8.0,1.75,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,3.7222222222222223,3.0555555555555554,True,True,0.8888888888888888,RETAIN
D3.1,Single 24/7 point of contact for spill notification,D3,Notification & Reporting,B,8.0,2.0,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,True,False,3.4444444444444446,3.1666666666666665,8.0,1.0,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,True,False,3.611111111111111,3.1666666666666665,False,True,0.7777777777777778,DROP
D3.2,Mandatory reporting thresholds and notification timelines defined,D3,Notification & Reporting,B,7.5,1.0,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,4.388888888888889,3.888888888888889,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.222222222222222,4.166666666666667,True,True,1.0,RETAIN
D3.3,Standardised notification format (POLREP or equivalent) in use,D3,Notification & Reporting,B,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.222222222222222,4.111111111111111,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.166666666666667,4.333333333333333,True,True,1.0,RETAIN
D3.4,Escalation pathway and neighbouring-state / IMO notification,D3,Notification & Reporting,B,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.222222222222222,4.277777777777778,8.0,1.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.388888888888889,4.166666666666667,True,True,0.9444444444444444,RETAIN
D3.5,Logged notification drill performance and response-time records,D3,Notification & Reporting,B,7.0,1.75,72.22222222222221,0.7222222222222222,0.7128364759370848,good,True,False,3.5555555555555554,3.388888888888889,7.0,2.0,66.66666666666666,0.6666666666666666,0.6412622820702302,good,True,False,3.6666666666666665,3.5,False,True,0.6666666666666666,DROP
D4.1,Tier 1/2/3 definitions adopted with quantitative activation triggers,D4,Tiered Response Arrangements,B,8.0,1.75,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,4.333333333333333,4.166666666666667,8.0,0.75,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.055555555555555,4.222222222222222,True,True,0.9444444444444444,RETAIN
D4.2,Tier 2 regional and mutual-aid agreements formally concluded,D4,Tiered Response Arrangements,B,8.0,1.75,100.0,1.0,1.0,excellent,True,True,4.333333333333333,4.333333333333333,8.0,0.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.444444444444445,4.277777777777778,True,True,0.9444444444444444,RETAIN
D4.3,"Tier 3 international assistance arrangements (e.g. OSRL, regional centre)",D4,Tiered Response Arrangements,B,8.0,1.0,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,4.166666666666667,4.0,8.0,0.0,100.0,1.0,1.0,excellent,True,True,4.277777777777778,4.222222222222222,True,True,1.0,RETAIN
D4.4,Documented activation criteria and escalation decision protocol,D4,Tiered Response Arrangements,B,8.0,1.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.555555555555555,4.166666666666667,8.0,1.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.222222222222222,4.388888888888889,True,True,0.9444444444444444,RETAIN
D4.5,Customs and immigration fast-track for cross-border response resources,D4,Tiered Response Arrangements,B,8.0,1.0,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,4.055555555555555,4.222222222222222,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.277777777777778,4.222222222222222,True,True,1.0,RETAIN
D5.1,Containment boom inventory sufficiency and deployment capacity,D5,Resources & Equipment,B,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.277777777777778,4.222222222222222,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.222222222222222,4.111111111111111,True,True,1.0,RETAIN
D5.2,Mechanical recovery (skimmer) capacity against the design scenario,D5,Resources & Equipment,B,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.388888888888889,4.333333333333333,8.0,1.0,100.0,1.0,1.0,excellent,True,True,4.055555555555555,4.388888888888889,True,True,1.0,RETAIN
