indicator_code,round,n_experts,median_relevance,q1_relevance,q3_relevance,iqr_relevance,mean_relevance,n_rating_7_9,pct_rating_7_9,I_CVI,kappa_star,kappa_evaluation,consensus_rule_pct,consensus_rule_median_iqr,consensus,retain,mean_clarity,mean_feasibility
D1.1,1,18,8.0,8.0,9.0,1.0,7.777777777777778,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.333333333333333,4.166666666666667
D1.2,1,18,6.0,4.25,7.0,2.75,5.833333333333333,7,38.88888888888889,0.3888888888888889,0.3044498475550924,poor,False,False,False,False,3.1666666666666665,3.111111111111111
D1.3,1,18,8.0,7.0,8.0,1.0,7.222222222222222,15,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,True,True,3.5555555555555554,3.7222222222222223
D1.4,1,18,8.0,7.25,9.0,1.75,7.833333333333333,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.166666666666667,4.222222222222222
D1.5,1,18,8.0,7.0,8.0,1.0,7.166666666666667,15,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,True,True,4.222222222222222,4.277777777777778
D2.1,1,18,8.0,7.25,8.75,1.5,7.777777777777778,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.277777777777778,4.055555555555555
D2.2,1,18,8.0,8.0,9.0,1.0,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.277777777777778,4.111111111111111
D2.3,1,18,8.0,8.0,8.75,0.75,8.055555555555555,18,100.0,1.0,1.0,excellent,True,True,True,True,4.388888888888889,4.5
D2.4,1,18,8.0,8.0,8.0,0.0,7.833333333333333,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.222222222222222,4.222222222222222
D2.5,1,18,8.0,7.0,8.75,1.75,7.444444444444445,14,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,False,True,True,False,3.611111111111111,3.2222222222222223
D3.1,1,18,8.0,7.0,9.0,2.0,7.222222222222222,14,77.77777777777779,0.7777777777777778,0.7751531463840985,excellent,False,True,True,False,3.4444444444444446,3.1666666666666665
D3.2,1,18,7.5,7.0,8.0,1.0,7.5,15,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,True,True,4.388888888888889,3.888888888888889
D3.3,1,18,8.0,8.0,9.0,1.0,8.277777777777779,18,100.0,1.0,1.0,excellent,True,True,True,True,4.222222222222222,4.111111111111111
D3.4,1,18,8.0,8.0,8.0,0.0,8.055555555555555,18,100.0,1.0,1.0,excellent,True,True,True,True,4.222222222222222,4.277777777777778
D3.5,1,18,7.0,6.25,8.0,1.75,7.166666666666667,13,72.22222222222221,0.7222222222222222,0.7128364759370848,good,False,True,True,False,3.5555555555555554,3.388888888888889
D4.1,1,18,8.0,7.25,9.0,1.75,7.722222222222222,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.333333333333333,4.166666666666667
D4.2,1,18,8.0,7.25,9.0,1.75,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.333333333333333,4.333333333333333
D4.3,1,18,8.0,7.0,8.0,1.0,7.222222222222222,15,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,True,True,4.166666666666667,4.0
D4.4,1,18,8.0,7.0,8.0,1.0,7.555555555555555,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.555555555555555,4.166666666666667
D4.5,1,18,8.0,7.0,8.0,1.0,7.388888888888889,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.055555555555555,4.222222222222222
D5.1,1,18,8.0,8.0,9.0,1.0,8.277777777777779,18,100.0,1.0,1.0,excellent,True,True,True,True,4.277777777777778,4.222222222222222
D5.2,1,18,8.0,7.0,8.0,1.0,7.888888888888889,18,100.0,1.0,1.0,excellent,True,True,True,True,4.388888888888889,4.333333333333333
D5.3,1,18,8.0,8.0,8.75,0.75,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.055555555555555,4.166666666666667
D5.4,1,18,8.0,8.0,8.75,0.75,7.944444444444445,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.388888888888889,4.444444444444445
D5.5,1,18,8.5,8.0,9.0,1.0,8.0,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.388888888888889,4.388888888888889
D6.1,1,18,8.0,8.0,8.0,0.0,7.944444444444445,18,100.0,1.0,1.0,excellent,True,True,True,True,4.166666666666667,4.111111111111111
D6.2,1,18,6.5,5.25,8.0,2.75,6.444444444444445,9,50.0,0.5,0.3861486296622394,poor,False,False,False,False,3.1666666666666665,3.0555555555555554
D6.3,1,18,8.0,7.0,8.0,1.0,7.611111111111111,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.5,4.5
D6.4,1,18,8.0,7.0,8.0,1.0,7.722222222222222,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.444444444444445,4.222222222222222
D6.5,1,18,8.0,7.0,8.0,1.0,7.722222222222222,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.388888888888889,4.055555555555555
D7.1,1,18,8.0,6.25,8.0,1.75,7.222222222222222,13,72.22222222222221,0.7222222222222222,0.7128364759370848,good,False,True,True,False,3.5,3.611111111111111
D7.2,1,18,8.0,7.25,8.0,0.75,7.944444444444445,18,100.0,1.0,1.0,excellent,True,True,True,True,4.444444444444445,4.5
D7.3,1,18,5.5,4.0,8.0,4.0,5.722222222222222,8,44.44444444444444,0.4444444444444444,0.33312778495161977,poor,False,False,False,False,2.888888888888889,3.0
D7.4,1,18,8.0,7.0,9.0,2.0,7.888888888888889,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,3.6666666666666665,3.2222222222222223
D7.5,1,18,8.0,7.25,8.75,1.5,7.722222222222222,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,3.5,3.2777777777777777
D8.1,1,18,8.0,8.0,8.75,0.75,8.166666666666666,18,100.0,1.0,1.0,excellent,True,True,True,True,4.388888888888889,4.0
D8.2,1,18,8.0,7.0,8.75,1.75,7.555555555555555,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.277777777777778,4.166666666666667
D8.3,1,18,8.0,8.0,9.0,1.0,8.0,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.444444444444445,4.444444444444445
D8.4,1,18,8.0,8.0,8.0,0.0,7.722222222222222,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.222222222222222,3.9444444444444446
D8.5,1,18,8.0,7.0,8.0,1.0,7.833333333333333,18,100.0,1.0,1.0,excellent,True,True,True,True,4.444444444444445,4.166666666666667
D9.1,1,18,8.0,7.25,8.75,1.5,7.833333333333333,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,3.5555555555555554,3.6666666666666665
D9.2,1,18,6.5,5.0,8.0,3.0,6.666666666666667,9,50.0,0.5,0.3861486296622394,poor,False,False,False,False,2.7777777777777777,3.0
D9.3,1,18,8.0,7.0,8.0,1.0,7.555555555555555,16,88.88888888888889,0.8888888888888888,0.8888240011637379,excellent,True,True,True,True,4.166666666666667,4.166666666666667
D9.4,1,18,5.0,4.0,7.0,3.0,5.722222222222222,8,44.44444444444444,0.4444444444444444,0.33312778495161977,poor,False,False,False,False,3.0555555555555554,2.7777777777777777
D9.5,1,18,8.0,8.0,8.75,0.75,7.944444444444445,17,94.44444444444444,0.9444444444444444,0.9444406294852263,excellent,True,True,True,True,4.555555555555555,4.222222222222222
D10.1,1,18,8.0,7.0,8.0,1.0,7.222222222222222,15,83.33333333333334,0.8333333333333334,0.8328129145492765,excellent,True,True,True,True,4.333333333333333,4.277777777777778
