level,group,expert_id,n_items,lambda_max,CI,RI,CR,consistent,flag
pillar,GOAL,AIJ_GROUP,3,3.002095763417858,0.0010478817089289993,0.58,0.0018066926016017232,True,
pillar,GOAL,E01,3,3.0182947072896305,0.009147353644815226,0.58,0.01577129938761246,True,
pillar,GOAL,E02,3,3.0182947072896305,0.009147353644815226,0.58,0.01577129938761246,True,
pillar,GOAL,E03,3,3.0182947072896305,0.009147353644815226,0.58,0.01577129938761246,True,
pillar,GOAL,E04,3,3.0,0.0,0.58,0.0,True,
pillar,GOAL,E05,3,3.0182947072896305,0.009147353644815226,0.58,0.01577129938761246,True,
pillar,GOAL,E06,3,3.0,0.0,0.58,0.0,True,
pillar,GOAL,E07,3,3.0,0.0,0.58,0.0,True,
pillar,GOAL,E08,3,3.0092027127142784,0.004601356357139208,0.58,0.00793337302955036,True,
domain,A,AIJ_GROUP,3,3.000200459478466,0.00010022973923295986,0.58,0.00017280989522924114,True,
domain,A,E01,3,3.0182947072896305,0.009147353644815226,0.58,0.01577129938761246,True,
domain,A,E02,3,3.0,0.0,0.58,0.0,True,
domain,A,E03,3,3.009202712714279,0.00460135635713943,0.58,0.007933373029550743,True,
domain,A,E04,3,3.0536215758789726,0.026810787939486325,0.58,0.04622549644739022,True,
domain,A,E05,3,3.009202712714279,0.00460135635713943,0.58,0.007933373029550743,True,
domain,A,E06,3,3.0182947072896305,0.009147353644815226,0.58,0.01577129938761246,True,
domain,A,E07,3,3.0182947072896305,0.009147353644815226,0.58,0.01577129938761246,True,
domain,A,E08,3,3.009202712714279,0.00460135635713943,0.58,0.007933373029550743,True,
domain,B,AIJ_GROUP,4,4.00939236401529,0.0031307880050966594,0.9,0.003478653338996288,True,
domain,B,E01,4,4.0,0.0,0.9,0.0,True,
domain,B,E02,4,4.0,0.0,0.9,0.0,True,
domain,B,E03,4,4.0,0.0,0.9,0.0,True,
domain,B,E04,4,4.060433616146346,0.020144538715448707,0.9,0.02238282079494301,True,
domain,B,E05,4,4.060433616146346,0.020144538715448707,0.9,0.02238282079494301,True,
domain,B,E06,4,4.060433616146346,0.020144538715448707,0.9,0.02238282079494301,True,
domain,B,E07,4,4.0,0.0,0.9,0.0,True,
domain,B,E08,4,4.060433616146346,0.020144538715448707,0.9,0.02238282079494301,True,
domain,C,AIJ_GROUP,3,3.0,0.0,0.58,0.0,True,
domain,C,E01,3,3.0,0.0,0.58,0.0,True,
domain,C,E02,3,3.0,0.0,0.58,0.0,True,
domain,C,E03,3,3.0,0.0,0.58,0.0,True,
domain,C,E04,3,3.0,0.0,0.58,0.0,True,
domain,C,E05,3,3.053621575878973,0.026810787939486547,0.58,0.0462254964473906,True,
domain,C,E06,3,3.0536215758789726,0.026810787939486325,0.58,0.04622549644739022,True,
domain,C,E07,3,3.0,0.0,0.58,0.0,True,
domain,C,E08,3,3.0,0.0,0.58,0.0,True,
indicator,D1,AIJ_GROUP,5,5.0112336441925045,0.002808411048126125,1.12,0.0025075098643983257,True,
indicator,D1,E01,5,5.042495385189501,0.010623846297375339,1.12,0.00948557705122798,True,
indicator,D1,E02,5,5.222355682782537,0.05558892069563415,1.12,0.0496329649068162,True,
indicator,D1,E03,5,5.042495385189501,0.010623846297375339,1.12,0.00948557705122798,True,
indicator,D1,E04,5,5.045738426343168,0.011434606585791984,1.12,0.0102094701658857,True,
indicator,D1,E05,5,5.101300821780723,0.025325205445180687,1.12,0.022611790576054183,True,
indicator,D1,E06,5,5.042495385189501,0.010623846297375339,1.12,0.00948557705122798,True,
indicator,D1,E07,5,5.009947222358187,0.0024868055895468366,1.12,0.002220362133523961,True,
indicator,D1,E08,5,5.051972071865903,0.012993017966475673,1.12,0.011600908898638993,True,
indicator,D10,AIJ_GROUP,5,5.0014432979351255,0.00036082448378138565,1.12,0.00032216471766195146,True,
indicator,D10,E01,5,5.058449734008455,0.01461243350211383,1.12,0.013046815626887347,True,
indicator,D10,E02,5,5.053930172847994,0.013482543211998488,1.12,0.012037985010712935,True,
indicator,D10,E03,5,5.009947222358187,0.0024868055895468366,1.12,0.002220362133523961,True,
indicator,D10,E04,5,5.013254181418333,0.0033135453545831695,1.12,0.0029585226380206865,True,
indicator,D10,E05,5,5.058192806331159,0.0145482015827898,1.12,0.012989465698919463,True,
indicator,D10,E06,5,5.063135526054909,0.015783881513727227,1.12,0.014092751351542166,True,
indicator,D10,E07,5,5.055287442711377,0.013821860677844189,1.12,0.012340947033789454,True,
indicator,D10,E08,5,5.040537530179211,0.010134382544802811,1.12,0.009048555843573938,True,
indicator,D2,AIJ_GROUP,5,5.018212833667553,0.004553208416888221,1.12,0.004065364657935912,True,
indicator,D2,E01,5,5.009947222358187,0.0024868055895468366,1.12,0.002220362133523961,True,
indicator,D2,E02,5,5.173340811122875,0.043335202780718785,1.12,0.03869214533992748,True,
indicator,D2,E03,5,5.077292089857002,0.01932302246425044,1.12,0.017252698628795034,True,
indicator,D2,E04,5,5.058192806331159,0.0145482015827898,1.12,0.012989465698919463,True,
indicator,D2,E05,5,5.039205213509623,0.009801303377405812,1.12,0.008751163729826617,True,
indicator,D2,E06,5,5.071843616629065,0.017960904157266144,1.12,0.016036521568987626,True,
indicator,D2,E07,5,5.039205213509623,0.009801303377405812,1.12,0.008751163729826617,True,
indicator,D2,E08,5,5.039205213509623,0.009801303377405812,1.12,0.008751163729826617,True,
indicator,D3,AIJ_GROUP,5,5.021106023799399,0.005276505949849852,1.12,0.004711166026651653,True,
indicator,D3,E01,5,5.077292089857002,0.01932302246425044,1.12,0.017252698628795034,True,
indicator,D3,E02,5,5.009947222358187,0.0024868055895468366,1.12,0.002220362133523961,True,
indicator,D3,E03,5,5.051972071865903,0.012993017966475673,1.12,0.011600908898638993,True,
indicator,D3,E04,5,5.116979904732568,0.029244976183141924,1.12,0.026111585877805286,True,
indicator,D3,E05,5,5.055287442711378,0.01382186067784441,1.12,0.012340947033789651,True,
indicator,D3,E06,5,5.051972071865903,0.012993017966475673,1.12,0.011600908898638993,True,
indicator,D3,E07,5,5.055287442711378,0.01382186067784441,1.12,0.012340947033789651,True,
indicator,D3,E08,5,5.029746993094345,0.007436748273586202,1.12,0.006639953815701966,True,
indicator,D4,AIJ_GROUP,5,5.004872997740661,0.0012182494351653528,1.12,0.0010877227099690648,True,
indicator,D4,E01,5,5.082125918933717,0.02053147973342928,1.12,0.018331678333418998,True,
indicator,D4,E02,5,5.055202775655607,0.013800693913901707,1.12,0.012322048137412236,True,
indicator,D4,E03,5,5.051972071865903,0.012993017966475673,1.12,0.011600908898638993,True,
indicator,D4,E04,5,5.059010015426113,0.014752503856528154,1.12,0.013171878443328709,True,
indicator,D4,E05,5,5.039205213509623,0.009801303377405812,1.12,0.008751163729826617,True,
indicator,D4,E06,5,5.061799044959665,0.01544976123991626,1.12,0.013794429678496659,True,
indicator,D4,E07,5,5.061799044959667,0.015449761239916704,1.12,0.013794429678497056,True,
indicator,D4,E08,5,5.039205213509623,0.009801303377405812,1.12,0.008751163729826617,True,
indicator,D5,AIJ_GROUP,5,5.008579246102563,0.002144811525640833,1.12,0.0019150102907507436,True,
indicator,D5,E01,5,5.137760046736206,0.03444001168405153,1.12,0.030750010432188862,True,
indicator,D5,E02,5,5.026353364497035,0.0065883411242586565,1.12,0.0058824474323738,True,
indicator,D5,E03,5,5.039599428243851,0.009899857060962747,1.12,0.00883915809014531,True,
indicator,D5,E04,5,5.0263533644970355,0.0065883411242588785,1.12,0.005882447432373998,True,
