domain_code,weight,achieved,max_achievable,mean_final_score,mean_doc_score,mean_field_score,n_indicators,score_0_100,band,weighting,domain_name,pillar_code,rank
D1,0.20773648325475216,0.435835641261156,0.6232094497642565,2.2,2.6,2.2,5,69.93405530452418,Developing,AHP,Legal & Regulatory Basis,A,2
D2,0.1366211318985439,0.3613204356491751,0.4098633956956318,2.4,2.6,2.4,5,88.15630755118589,Advanced,AHP,Designated Authority & Command Structure,A,1
D3,0.033554864563343875,0.06788772598222267,0.10066459369003161,2.0,2.2,2.0,5,67.43952714026133,Developing,AHP,Notification & Reporting,B,3
D4,0.04167037069105631,0.05197281953135417,0.12501111207316892,1.2,1.2,1.2,5,41.57455978868064,Emerging,AHP,Tiered Response Arrangements,B,6
D5,0.038211898405536064,0.01425995151756632,0.11463569521660819,0.4,1.0,0.4,5,12.43936410087769,Critical gap,AHP,Resources & Equipment,B,10
D6,0.0399036836816812,0.027943875930935072,0.1197110510450436,1.0,1.4,0.8,5,23.342770518672207,Critical gap,AHP,Training & Exercises,B,9
D7,0.14844578814419934,0.15810679788218113,0.445337364432598,0.8,1.2,0.8,5,35.5027021107075,Emerging,AHP,Funding & Liability Arrangements,C,7
D8,0.13612538792493487,0.13193236830637317,0.4083761637748046,1.0,1.2,1.0,5,32.30657908308432,Emerging,AHP,Plan Currency & Documentation,C,8
D9,0.06928460329175287,0.08651203986280963,0.20785380987525862,1.2,1.4,1.2,5,41.62158004932841,Emerging,AHP,Stakeholder Coordination,A,5
D10,0.14844578814419934,0.19770452955165158,0.445337364432598,1.4,1.8,1.4,5,44.39432783807527,Emerging,AHP,"Monitoring, Review & After-Action Learning",C,4
