domain_code,domain_name,pillar_code,weight_ahp,weight_equal,score_ahp,score_equal,delta,abs_delta,rank_ahp,rank_equal,rank_shift
D1,Legal & Regulatory Basis,A,0.20773648325475216,0.1,69.93405530452418,73.33333333333333,-3.3992780288091495,3.3992780288091495,2,2,0
D2,Designated Authority & Command Structure,A,0.1366211318985439,0.1,88.15630755118589,79.99999999999999,8.156307551185904,8.156307551185904,1,1,0
D3,Notification & Reporting,B,0.033554864563343875,0.1,67.43952714026133,66.66666666666666,0.772860473594676,0.772860473594676,3,3,0
D4,Tiered Response Arrangements,B,0.04167037069105631,0.1,41.57455978868064,40.0,1.574559788680638,1.574559788680638,6,5,-1
D5,Resources & Equipment,B,0.038211898405536064,0.1,12.43936410087769,13.333333333333332,-0.8939692324556425,0.8939692324556425,10,10,0
D6,Training & Exercises,B,0.0399036836816812,0.1,23.342770518672207,33.33333333333333,-9.990562814661121,9.990562814661121,9,7,-2
D7,Funding & Liability Arrangements,C,0.14844578814419934,0.1,35.5027021107075,26.666666666666664,8.836035444040839,8.836035444040839,7,9,2
D8,Plan Currency & Documentation,C,0.13612538792493487,0.1,32.30657908308432,33.33333333333333,-1.026754250249006,1.026754250249006,8,7,-1
D9,Stakeholder Coordination,A,0.06928460329175287,0.1,41.62158004932841,39.99999999999999,1.621580049328415,1.621580049328415,5,6,1
D10,"Monitoring, Review & After-Action Learning",C,0.14844578814419934,0.1,44.39432783807527,46.666666666666664,-2.272338828591394,2.272338828591394,4,4,0
