expert_id,round,indicator_code,relevance,clarity,feasibility
E01,1,D1.1,8,4,3
E01,1,D1.2,7,3,4
E01,1,D1.3,8,3,3
E01,1,D1.4,8,3,5
E01,1,D1.5,9,4,4
E01,1,D10.1,8,5,5
E01,1,D10.2,9,2,2
E01,1,D10.3,9,4,4
E01,1,D10.4,7,5,4
E01,1,D10.5,8,5,4
E01,1,D2.1,7,5,4
E01,1,D2.2,8,3,4
E01,1,D2.3,8,4,5
E01,1,D2.4,8,4,5
E01,1,D2.5,8,3,3
E01,1,D3.1,9,3,3
E01,1,D3.2,7,4,4
E01,1,D3.3,8,4,3
E01,1,D3.4,7,4,5
E01,1,D3.5,7,5,3
E01,1,D4.1,9,5,5
E01,1,D4.2,9,4,5
E01,1,D4.3,4,4,4
E01,1,D4.4,9,5,5
E01,1,D4.5,8,4,4
E01,1,D5.1,9,5,5
E01,1,D5.2,7,5,5
E01,1,D5.3,9,4,4
E01,1,D5.4,8,5,5
E01,1,D5.5,7,5,5
E01,1,D6.1,8,3,5
E01,1,D6.2,8,3,4
E01,1,D6.3,8,4,3
E01,1,D6.4,7,4,5
E01,1,D6.5,9,4,5
E01,1,D7.1,8,4,4
E01,1,D7.2,7,5,5
E01,1,D7.3,8,2,3
E01,1,D7.4,7,3,2
E01,1,D7.5,8,3,3
E01,1,D8.1,7,5,4
E01,1,D8.2,9,5,4
E01,1,D8.3,8,5,4
E01,1,D8.4,9,4,5
E01,1,D8.5,9,3,3
E01,1,D9.1,7,3,3
E01,1,D9.2,6,2,5
E01,1,D9.3,8,5,3
E01,1,D9.4,4,3,1
E01,1,D9.5,8,5,4
E02,1,D1.1,9,5,4
E02,1,D1.2,6,3,3
E02,1,D1.3,7,3,3
E02,1,D1.4,8,4,3
E02,1,D1.5,8,4,4
E02,1,D10.1,8,5,4
E02,1,D10.2,9,3,4
E02,1,D10.3,8,5,5
E02,1,D10.4,8,5,5
E02,1,D10.5,8,3,4
E02,1,D2.1,8,3,4
E02,1,D2.2,8,5,4
E02,1,D2.3,9,4,5
E02,1,D2.4,8,4,5
E02,1,D2.5,7,3,2
E02,1,D3.1,2,3,2
E02,1,D3.2,9,4,3
E02,1,D3.3,9,5,3
E02,1,D3.4,8,5,4
E02,1,D3.5,8,4,4
E02,1,D4.1,8,4,5
E02,1,D4.2,9,4,5
E02,1,D4.3,4,3,4
E02,1,D4.4,4,5,2
E02,1,D4.5,8,4,4
E02,1,D5.1,8,4,3
E02,1,D5.2,7,4,5
E02,1,D5.3,8,5,3
E02,1,D5.4,8,4,4
E02,1,D5.5,9,5,5
E02,1,D6.1,7,5,4
E02,1,D6.2,8,3,3
E02,1,D6.3,5,4,4
E02,1,D6.4,8,5,5
E02,1,D6.5,8,4,4
E02,1,D7.1,8,4,3
E02,1,D7.2,9,4,4
E02,1,D7.3,9,3,2
E02,1,D7.4,9,3,3
E02,1,D7.5,5,3,3
E02,1,D8.1,8,5,4
E02,1,D8.2,6,3,4
E02,1,D8.3,7,5,5
E02,1,D8.4,9,5,4
E02,1,D8.5,7,4,5
E02,1,D9.1,9,4,3
E02,1,D9.2,4,1,3
E02,1,D9.3,9,4,4
E02,1,D9.4,7,4,4
E02,1,D9.5,7,4,4
E03,1,D1.1,4,4,5
E03,1,D1.2,5,4,2
E03,1,D1.3,5,4,3
E03,1,D1.4,7,4,3
E03,1,D1.5,8,4,4
E03,1,D10.1,9,4,3
E03,1,D10.2,9,3,3
E03,1,D10.3,7,5,4
E03,1,D10.4,8,4,4
E03,1,D10.5,7,5,3
E03,1,D2.1,8,5,4
E03,1,D2.2,9,5,4
E03,1,D2.3,8,3,5
E03,1,D2.4,8,4,3
E03,1,D2.5,8,3,4
E03,1,D3.1,9,4,3
E03,1,D3.2,7,5,4
E03,1,D3.3,9,3,3
E03,1,D3.4,8,4,5
E03,1,D3.5,9,3,2
E03,1,D4.1,9,5,5
E03,1,D4.2,9,4,3
E03,1,D4.3,8,5,4
E03,1,D4.4,7,5,4
E03,1,D4.5,8,4,4
E03,1,D5.1,7,4,4
E03,1,D5.2,9,5,4
E03,1,D5.3,8,4,5
E03,1,D5.4,8,4,5
E03,1,D5.5,8,4,4
E03,1,D6.1,8,4,4
E03,1,D6.2,5,3,3
E03,1,D6.3,7,5,5
E03,1,D6.4,9,4,3
E03,1,D6.5,7,5,4
E03,1,D7.1,9,4,4
E03,1,D7.2,8,5,4
E03,1,D7.3,3,3,3
E03,1,D7.4,9,5,4
E03,1,D7.5,8,4,3
E03,1,D8.1,8,5,2
E03,1,D8.2,7,5,4
E03,1,D8.3,8,5,4
E03,1,D8.4,7,4,2
E03,1,D8.5,9,5,4
E03,1,D9.1,4,4,3
E03,1,D9.2,8,3,3
E03,1,D9.3,4,5,4
E03,1,D9.4,8,3,1
E03,1,D9.5,8,4,5
E04,1,D1.1,4,4,4
E04,1,D1.2,7,3,2
E04,1,D1.3,7,3,4
E04,1,D1.4,9,4,4
E04,1,D1.5,8,3,5
E04,1,D10.1,7,4,5
E04,1,D10.2,4,4,2
E04,1,D10.3,9,4,2
E04,1,D10.4,9,5,4
E04,1,D10.5,8,5,5
E04,1,D2.1,8,3,2
E04,1,D2.2,8,4,4
E04,1,D2.3,9,5,3
E04,1,D2.4,8,5,4
E04,1,D2.5,9,3,3
E04,1,D3.1,9,4,4
E04,1,D3.2,8,4,3
E04,1,D3.3,8,5,5
E04,1,D3.4,8,3,4
E04,1,D3.5,8,3,5
E04,1,D4.1,8,4,2
E04,1,D4.2,8,5,4
E04,1,D4.3,9,5,4
E04,1,D4.4,8,4,4
E04,1,D4.5,8,4,4
E04,1,D5.1,8,4,3
E04,1,D5.2,7,5,2
E04,1,D5.3,7,4,3
E04,1,D5.4,9,3,5
E04,1,D5.5,5,5,3
E04,1,D6.1,8,5,5
E04,1,D6.2,7,3,3
E04,1,D6.3,7,4,5
E04,1,D6.4,8,5,5
E04,1,D6.5,7,4,4
E04,1,D7.1,8,4,2
E04,1,D7.2,9,4,5
E04,1,D7.3,2,3,3
E04,1,D7.4,6,5,3
E04,1,D7.5,8,3,3
E04,1,D8.1,8,3,5
E04,1,D8.2,7,4,4
E04,1,D8.3,4,5,5
E04,1,D8.4,8,4,5
E04,1,D8.5,8,5,5
E04,1,D9.1,9,4,4
E04,1,D9.2,6,3,3
E04,1,D9.3,9,4,4
E04,1,D9.4,3,4,3
E04,1,D9.5,8,4,3
E05,1,D1.1,8,5,5
E05,1,D1.2,8,2,5
E05,1,D1.3,8,4,4
E05,1,D1.4,7,4,5
E05,1,D1.5,7,5,4
E05,1,D10.1,4,4,4
E05,1,D10.2,5,3,3
E05,1,D10.3,8,5,5
E05,1,D10.4,7,4,4
E05,1,D10.5,9,5,4
E05,1,D2.1,9,4,5
E05,1,D2.2,8,5,5
E05,1,D2.3,8,5,4
E05,1,D2.4,8,3,5
E05,1,D2.5,5,5,3
E05,1,D3.1,9,3,3
E05,1,D3.2,7,4,4
E05,1,D3.3,7,3,4
E05,1,D3.4,9,4,4
E05,1,D3.5,9,3,2
E05,1,D4.1,9,3,4
E05,1,D4.2,7,4,5
E05,1,D4.3,8,4,3
E05,1,D4.4,7,4,5
E05,1,D4.5,8,4,5
E05,1,D5.1,9,4,4
E05,1,D5.2,8,5,5
E05,1,D5.3,9,4,4
E05,1,D5.4,8,5,4
E05,1,D5.5,9,5,4
E05,1,D6.1,8,4,3
E05,1,D6.2,6,2,4
E05,1,D6.3,8,4,5
E05,1,D6.4,7,5,5
E05,1,D6.5,9,5,4
E05,1,D7.1,6,4,4
E05,1,D7.2,9,4,4
E05,1,D7.3,7,3,5
E05,1,D7.4,9,4,4
E05,1,D7.5,8,3,4
E05,1,D8.1,7,5,5
E05,1,D8.2,9,4,4
E05,1,D8.3,9,4,5
E05,1,D8.4,8,5,4
E05,1,D8.5,8,5,4
E05,1,D9.1,8,4,3
E05,1,D9.2,5,3,3
E05,1,D9.3,8,3,4
E05,1,D9.4,7,4,4
E05,1,D9.5,9,5,5
E06,1,D1.1,9,4,4
E06,1,D1.2,7,2,4
E06,1,D1.3,8,3,5
E06,1,D1.4,3,5,5
E06,1,D1.5,7,4,5
E06,1,D10.1,8,4,4
E06,1,D10.2,7,4,3
E06,1,D10.3,7,4,4
E06,1,D10.4,7,4,5
E06,1,D10.5,9,4,5
E06,1,D2.1,8,4,2
E06,1,D2.2,9,4,4
E06,1,D2.3,8,5,4
E06,1,D2.4,9,4,5
E06,1,D2.5,9,4,1
E06,1,D3.1,7,4,4
E06,1,D3.2,8,4,3
E06,1,D3.3,9,5,4
E06,1,D3.4,8,5,3
E06,1,D3.5,7,3,4
E06,1,D4.1,8,4,5
E06,1,D4.2,9,5,5
E06,1,D4.3,7,5,4
E06,1,D4.4,7,5,4
E06,1,D4.5,2,4,4
E06,1,D5.1,7,5,4
E06,1,D5.2,8,4,4
E06,1,D5.3,8,4,3
E06,1,D5.4,8,5,4
E06,1,D5.5,8,4,5
E06,1,D6.1,8,3,4
E06,1,D6.2,8,4,2
E06,1,D6.3,8,4,4
E06,1,D6.4,8,5,5
E06,1,D6.5,8,5,3
E06,1,D7.1,8,2,4
E06,1,D7.2,8,4,4
E06,1,D7.3,4,3,3
E06,1,D7.4,9,4,2
E06,1,D7.5,7,4,5
E06,1,D8.1,8,4,4
E06,1,D8.2,8,5,4
E06,1,D8.3,9,4,5
E06,1,D8.4,8,5,3
E06,1,D8.5,8,5,3
E06,1,D9.1,9,4,3
E06,1,D9.2,9,3,2
E06,1,D9.3,7,4,4
E06,1,D9.4,4,2,1
E06,1,D9.5,9,5,5
E07,1,D1.1,7,4,4
E07,1,D1.2,3,3,3
E07,1,D1.3,8,4,5
E07,1,D1.4,7,5,3
E07,1,D1.5,8,5,4
E07,1,D10.1,8,5,4
E07,1,D10.2,4,2,3
E07,1,D10.3,5,4,5
E07,1,D10.4,7,5,4
E07,1,D10.5,9,5,3
E07,1,D2.1,8,4,4
E07,1,D2.2,7,4,5
E07,1,D2.3,7,4,5
E07,1,D2.4,8,5,5
E07,1,D2.5,6,4,3
E07,1,D3.1,6,3,3
E07,1,D3.2,5,4,4
E07,1,D3.3,8,4,4
E07,1,D3.4,8,4,4
E07,1,D3.5,9,3,3
E07,1,D4.1,4,5,5
E07,1,D4.2,8,4,4
E07,1,D4.3,7,5,3
E07,1,D4.4,8,4,5
E07,1,D4.5,8,5,4
E07,1,D5.1,9,5,4
E07,1,D5.2,8,5,3
E07,1,D5.3,7,5,5
E07,1,D5.4,5,5,4
E07,1,D5.5,9,5,5
E07,1,D6.1,8,4,4
E07,1,D6.2,9,4,3
E07,1,D6.3,9,5,5
E07,1,D6.4,5,5,4
E07,1,D6.5,8,5,3
E07,1,D7.1,8,3,4
E07,1,D7.2,9,4,5
E07,1,D7.3,7,3,2
E07,1,D7.4,7,2,3
E07,1,D7.5,8,3,2
E07,1,D8.1,9,5,4
E07,1,D8.2,8,3,5
E07,1,D8.3,8,4,5
E07,1,D8.4,8,4,5
E07,1,D8.5,8,4,4
E07,1,D9.1,8,2,4
E07,1,D9.2,7,4,3
E07,1,D9.3,8,4,5
E07,1,D9.4,7,4,3
E07,1,D9.5,7,5,4
E08,1,D1.1,8,5,3
E08,1,D1.2,3,3,3
E08,1,D1.3,8,4,4
E08,1,D1.4,8,5,5
E08,1,D1.5,7,3,3
E08,1,D10.1,7,4,5
E08,1,D10.2,8,3,2
E08,1,D10.3,9,3,4
E08,1,D10.4,7,5,4
E08,1,D10.5,9,5,5
E08,1,D2.1,3,4,4
E08,1,D2.2,8,4,3
E08,1,D2.3,8,4,3
E08,1,D2.4,7,5,5
E08,1,D2.5,7,3,3
E08,1,D3.1,7,3,1
E08,1,D3.2,9,5,5
E08,1,D3.3,8,5,4
E08,1,D3.4,9,5,4
E08,1,D3.5,4,5,3
E08,1,D4.1,8,4,4
E08,1,D4.2,7,5,4
E08,1,D4.3,8,3,3
E08,1,D4.4,8,5,4
E08,1,D4.5,8,4,5
E08,1,D5.1,8,4,5
E08,1,D5.2,9,5,4
E08,1,D5.3,8,5,4
E08,1,D5.4,9,4,4
E08,1,D5.5,8,4,4
E08,1,D6.1,8,4,3
E08,1,D6.2,7,5,2
E08,1,D6.3,4,5,4
E08,1,D6.4,8,4,4
E08,1,D6.5,7,4,5
E08,1,D7.1,5,4,3
E08,1,D7.2,8,5,5
E08,1,D7.3,8,3,3
E08,1,D7.4,8,3,3
E08,1,D7.5,9,5,3
E08,1,D8.1,9,5,4
E08,1,D8.2,9,4,5
E08,1,D8.3,7,4,4
E08,1,D8.4,8,5,4
E08,1,D8.5,9,4,3
E08,1,D9.1,7,3,3
E08,1,D9.2,7,2,4
E08,1,D9.3,5,4,4
E08,1,D9.4,5,3,2
E08,1,D9.5,5,5,5
E09,1,D1.1,9,5,4
E09,1,D1.2,6,4,3
E09,1,D1.3,8,4,4
E09,1,D1.4,8,5,4
E09,1,D1.5,7,4,5
E09,1,D10.1,8,5,5
E09,1,D10.2,4,2,2
E09,1,D10.3,4,5,4
E09,1,D10.4,8,5,3
E09,1,D10.5,7,4,3
E09,1,D2.1,8,4,5
E09,1,D2.2,8,5,4
E09,1,D2.3,8,4,5
E09,1,D2.4,8,5,4
E09,1,D2.5,9,3,3
E09,1,D3.1,9,3,4
E09,1,D3.2,7,4,4
E09,1,D3.3,8,5,4
E09,1,D3.4,8,4,5
E09,1,D3.5,8,3,4
E09,1,D4.1,7,5,3
E09,1,D4.2,9,5,3
E09,1,D4.3,8,4,5
E09,1,D4.4,8,4,5
E09,1,D4.5,7,4,4
E09,1,D5.1,8,3,4
E09,1,D5.2,8,4,5
E09,1,D5.3,9,5,3
E09,1,D5.4,9,5,5
E09,1,D5.5,9,5,4
E09,1,D6.1,8,4,5
E09,1,D6.2,7,3,4
E09,1,D6.3,9,4,4
E09,1,D6.4,7,4,4
E09,1,D6.5,8,4,5
E09,1,D7.1,2,4,4
E09,1,D7.2,8,3,4
E09,1,D7.3,5,3,3
E09,1,D7.4,7,4,3
E09,1,D7.5,8,3,3
E09,1,D8.1,9,4,4
E09,1,D8.2,8,4,5
E09,1,D8.3,9,3,5
E09,1,D8.4,8,4,4
E09,1,D8.5,8,4,5
E09,1,D9.1,7,4,3
E09,1,D9.2,5,3,2
E09,1,D9.3,8,4,5
E09,1,D9.4,7,2,3
E09,1,D9.5,9,4,5
E10,1,D1.1,8,5,4
E10,1,D1.2,8,3,3
E10,1,D1.3,8,3,4
E10,1,D1.4,9,5,5
E10,1,D1.5,8,4,4
E10,1,D10.1,9,4,4
E10,1,D10.2,8,4,3
E10,1,D10.3,7,5,5
E10,1,D10.4,7,4,4
E10,1,D10.5,9,4,5
E10,1,D2.1,8,4,3
E10,1,D2.2,9,5,2
E10,1,D2.3,9,4,5
E10,1,D2.4,8,3,4
E10,1,D2.5,2,5,4
E10,1,D3.1,8,2,5
E10,1,D3.2,9,4,4
E10,1,D3.3,9,5,5
E10,1,D3.4,8,5,4
E10,1,D3.5,6,4,4
E10,1,D4.1,9,5,5
E10,1,D4.2,9,4,4
E10,1,D4.3,9,4,5
E10,1,D4.4,8,5,5
E10,1,D4.5,7,4,3
E10,1,D5.1,9,4,5
E10,1,D5.2,7,5,5
E10,1,D5.3,8,4,5
E10,1,D5.4,8,5,4
E10,1,D5.5,9,2,5
E10,1,D6.1,8,5,4
E10,1,D6.2,6,4,4
E10,1,D6.3,9,5,5
