respondent_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12_raw,q12_group,q13,q14,q15
SRV-001,4,2,3,4,4,2,1,3,3,3,Unclear lines of authority,Bangladesh Navy,Bangladesh Navy,4,1,Response times must be logged
SRV-002,3,1,2,2,3,1,2,2,2,3,Too few trained staff,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",2,0,Plan should be public
SRV-003,3,1,3,3,3,1,,3,2,1,No dedicated budget,Master or ship's officer,Master or ship's officer,2,0,Plan should be public
SRV-004,3,0,2,4,2,0,2,2,2,2,,Chattogram Port Authority,Chattogram Port Authority,3,0,
SRV-005,2,0,2,3,2,0,2,1,1,1,,,,2,0,Response times must be logged
SRV-006,3,0,3,2,3,0,4,2,3,3,Agencies do not exercise together,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)","Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",1,0,
SRV-007,4,1,2,4,4,1,,4,2,3,Plan is out of date,,,3,1,Response times must be logged
SRV-008,3,1,3,3,3,1,3,3,1,2,Equipment is not maintained,Chattogram Port Authority,Chattogram Port Authority,1,0,Exercises need to involve the terminals
SRV-009,4,1,2,3,4,0,1,3,2,2,Too few trained staff,Chattogram Port Authority,Chattogram Port Authority,2,0,
SRV-010,3,0,1,3,3,0,4,2,2,2,No dedicated budget,Bangladesh Navy,Bangladesh Navy,3,0,
SRV-011,3,2,3,4,3,1,3,2,2,3,Plan is out of date,SHIPPING AGENT,Shipping agent,2,1,Training budget has not increased in years
SRV-012,3,2,4,5,4,2,1,2,3,3,,Shipping line or vessel operator,Shipping line or vessel operator,3,1,Training budget has not increased in years
SRV-013,2,1,3,4,3,0,4,3,3,2,Plan is out of date,Bangladesh Navy,Bangladesh Navy,3,0,More boom stock is essential
SRV-014,3,1,2,4,2,0,1,2,3,2,No dedicated budget,Fisheries cooperative,Other,4,0,Exercises need to involve the terminals
SRV-015,3,1,3,3,3,1,2,4,2,3,,Bangladesh Navy,Bangladesh Navy,4,1,Plan should be public
SRV-016,4,2,3,4,3,1,3,2,4,2,Equipment is not maintained,Master or ship's officer,Master or ship's officer,3,1,
SRV-017,4,2,3,4,3,2,1,4,3,3,Equipment is not maintained,,,2,1,Response times must be logged
SRV-018,3,0,2,3,2,0,3,2,2,2,No dedicated budget,BANGLADESH NAVY,Bangladesh Navy,2,0,More boom stock is essential
SRV-019,5,2,4,4,5,2,1,3,5,3,Unclear lines of authority,SHIPPING LINE OR VESSEL OPERATOR,Shipping line or vessel operator,3,1,
