Timestamp,Do you consent to take part in this study? Responses are anonymised and used only for academic research.,I am confident the port oil spill contingency plan would work in a real Tier 2 spill.,Are you aware of a designated On-Scene Commander for oil spill response at this port?,My own roles and responsibilities during a spill response are clear to me.,The oil spill response equipment currently available at this port is adequate.,Coordination between agencies during a spill response is effective.,Have you been given access to the port oil spill contingency plan?,How often does your organisation take part in oil spill response exercises?,I am confident in the notification and reporting chain for a reported spill.,The funding available for oil spill preparedness at this port is adequate.,Lessons from incidents and exercises are acted upon.,"In your view, what is the single greatest barrier to oil spill preparedness at this port?",Which of the following best describes your organisation?,"How many years have you worked in port operations, shipping or environmental regulation?","Have you received formal oil spill response training (e.g. IMO OPRC Level 1, 2 or 3)?",Any further comments on oil spill preparedness at this port?
3/31/2026 7:16:00,"Yes, I consent",Neutral,Unsure,AGREE,  Disagree ,neutral,Unsure,Don’t know,Disagree,Neutral  ,Neutral,Equipment is not maintained,Shipping agent,5 to 10 years,Yes,
3/19/2026 6:14:00,"Yes, I consent",AGREE,Yes,  Agree ,agree,Neutral,Yes,Rarely,Agree  ,Agree,Neutral,No dedicated budget,Shipping line or vessel operator,More than 20 years,Yes,
4/3/2026 10:38:00,"Yes, I consent",  Disagree ,No,disagree,Agree,Neutral  ,No,Rarely,Disagree,Disagree,DISAGREE,Unclear lines of authority,  BANGLADESH NAVY ,5 to 10 years,No,Response times must be logged
3/15/2026 1:05:00,"Yes, I consent",neutral,Unsure,Neutral,Neutral  ,Neutral,Unsure,Rarely,Agree,DISAGREE,  Neutral ,,Bangladesh Navy,More than 20 years,Yes,Plan should be public
3/26/2026 16:18:00,"Yes, I consent",Agree,No,Agree  ,Neutral,Agree,No,Often,STRONGLY DISAGREE,  Strongly disagree ,strongly disagree,Too few trained staff,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",11 to 20 years,No,Training budget has not increased in years
3/3/2026 1:32:00,"Yes, I consent",4,Yes,3,4,4,Yes,Never,3,3,3,Unclear lines of authority,Bangladesh Navy,More than 20 years,Yes,Response times must be logged
3/17/2026 20:15:00,"Yes, I consent",Agree,Yes,Agree,STRONGLY AGREE,  Agree ,Yes,Sometimes,agree,Agree,Agree  ,Too few trained staff,"Other government agency (Coast Guard, DoE, Department of Shipping, etc.)",5 to 10 years,Yes,Exercises need to involve the terminals
4/8/2026 18:29:00,"Yes, I consent",Agree,Yes,NEUTRAL,  Strongly agree ,strongly agree,Yes,Rarely,Agree,Agree  ,Neutral,Unclear lines of authority,  BANGLADESH NAVY ,5 to 10 years,Yes,More boom stock is essential
4/8/2026 11:38:00,"Yes, I consent",AGREE,Yes,  Agree ,strongly agree,Neutral,Yes,Rarely,Neutral  ,Neutral,Neutral,Equipment is not maintained,,5 to 10 years,Yes,More boom stock is essential
4/11/2026 0:27:00,"Yes, I consent",  Strongly agree ,Yes,agree,Agree,Neutral  ,Yes,Rarely,Neutral,Neutral,AGREE,Agencies do not exercise together,,More than 20 years,Yes,
4/4/2026 21:14:00,"Yes, I consent",neutral,Yes,Agree,Neutral  ,Agree,Yes,Never,Agree,NEUTRAL,  Agree ,Unclear lines of authority,Chattogram Port Authority,More than 20 years,Yes,More boom stock is essential
4/8/2026 14:43:00,"Yes, I consent",Disagree,Unsure,Neutral  ,Strongly agree,Neutral,No,Sometimes,NEUTRAL,  Neutral ,disagree,,University researcher,More than 20 years,No,Response times must be logged
3/10/2026 20:58:00,"Yes, I consent",3,Yes,3,4,3,Unsure,Sometimes,2,2,3,Plan is out of date,  SHIPPING AGENT ,5 to 10 years,Yes,Training budget has not increased in years
4/1/2026 22:40:00,"Yes, I consent",Disagree,No,Neutral,NEUTRAL,  Neutral ,No,Sometimes,disagree,Disagree,Disagree  ,,Bangladesh Navy,More than 20 years,No,
3/14/2026 14:47:00,"No, I do not consent",4,Unsure,3,4,3,Unsure,Don’t know,3,3,3,No dedicated budget,Chattogram Port Authority,5 to 10 years,No,Training budget has not increased in years
4/10/2026 1:15:00,"Yes, I consent",NEUTRAL,Yes,  Disagree ,agree,Strongly agree,Yes,Sometimes,Neutral  ,Neutral,Agree,,Chattogram Port Authority,5 to 10 years,Yes,Plan should be public
